,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate
3437,343700.0,2.6024999618530273,9.219261301041115e-06,2.7528329615833513e-10,1.6136119995735498e-07,5.184956080483971e-06,3.1609193683834746e-05
3438,343800.0,2.7795708179473877,5.3610683607985266e-06,1.0018916807297273e-09,6.252976803011734e-09,5.203742148296442e-06,3.157744140480645e-05
3439,343900.0,2.8381214141845703,5.607621005765395e-06,7.273890517689452e-11,1.5281070631090188e-08,5.225521363172447e-06,3.15457145916298e-05
3440,344000.0,2.8037073612213135,7.182969511632109e-06,3.7049602275018856e-10,2.4037811741095538e-08,6.5816534515761305e-06,3.151403507217765e-05
3441,344100.0,2.8363189697265625,4.8662836888979655e-06,2.6447638523663386e-10,1.5209618009492942e-09,4.827994871448027e-06,3.1482377380598336e-05
3442,344200.0,2.77520751953125,1.0473833754076622e-05,1.889476353156283e-09,1.7438470933939243e-07,6.112325536378194e-06,3.1450745154870674e-05
3443,344300.0,2.6376192569732666,7.873647518863436e-06,4.5353923394664264e-10,9.388048738401267e-08,5.52618121218984e-06,3.141915294690989e-05
3444,344400.0,2.6221237182617188,5.940330083831213e-06,1.541926364367896e-09,3.2615687928228e-08,5.123396022099769e-06,3.138758984277956e-05
3445,344500.0,2.5628607273101807,5.921760021010414e-06,7.170241733689409e-09,4.627550964642069e-08,4.757701844937401e-06,3.135607039439492e-05
3446,344600.0,2.6109323501586914,4.7904586608638056e-06,5.277931425240467e-10,1.2056566855989104e-09,4.75978913527797e-06,3.132456913590431e-05
3447,344700.0,2.5640408992767334,4.729879492515465e-06,1.2483877265268006e-09,9.87356196802125e-10,4.703947524831165e-06,3.129310061922297e-05
3448,344800.0,2.742490768432617,7.674998414586298e-06,2.3169970386760497e-09,1.0316134080312622e-07,5.093647814646829e-06,3.126166484435089e-05
3449,344900.0,2.736116409301758,5.466445145430043e-06,2.3937546389518616e-10,4.433223566024935e-09,5.355375378712779e-06,3.1230258173309267e-05
3450,345000.0,2.714277505874634,4.540171175904106e-06,1.0522145377223069e-09,1.3037191326503716e-09,4.5065257836540695e-06,3.119889515801333e-05
3451,345100.0,2.79773211479187,7.514108347095316e-06,6.763622995009655e-10,7.510033128710347e-08,5.635923571389867e-06,3.116755033261143e-05
3452,345200.0,2.822849988937378,7.917969924164936e-06,2.557911216172215e-09,7.301965609940453e-08,6.0899205891473684e-06,3.113623824901879e-05
3453,345300.0,2.856534004211426,4.792385880136862e-06,7.129531964800151e-10,6.5970002793847016e-09,4.626747795555275e-06,3.110496254521422e-05
3454,345400.0,2.799318790435791,5.922122909396421e-06,1.869442822766132e-09,4.627896998954384e-08,4.763279321196023e-06,3.107371594524011e-05
3455,345500.0,2.6762754917144775,6.19336060481146e-06,5.911804823455213e-09,3.3108847219409654e-08,5.359727765608113e-06,3.104250936303288e-05
3456,345600.0,2.749546766281128,4.9902882892638445e-06,3.032006035130763e-10,4.726620872474996e-09,4.871819328400306e-06,3.101132097071968e-05
3457,345700.0,2.693342685699463,5.840091944264714e-06,1.3041737689789556e-09,2.8252362227476624e-08,5.132478690939024e-06,3.0980168958194554e-05
3458,345800.0,2.6768100261688232,5.349680122890277e-06,5.933222663179194e-11,7.890633035856354e-09,5.1523552428989206e-06,3.0949046049499884e-05
3459,345900.0,2.7994396686553955,1.098479151551146e-05,4.845405410236481e-09,2.026218623996101e-07,5.9143994803889655e-06,3.091795588261448e-05
3460,346000.0,2.8222708702087402,4.8925144255917985e-06,2.327588122241764e-09,1.9103478798854212e-09,4.842428552365163e-06,3.0886902095517144e-05
3461,346100.0,2.7883341312408447,5.341999894881155e-06,3.628812139666593e-09,1.454362941188947e-08,4.974780495103914e-06,3.0855877412250265e-05
3462,346200.0,2.753643035888672,8.906798029784113e-06,5.607007635965999e-10,1.232081245916561e-07,5.826034794154111e-06,3.082487819483504e-05
